측정소명,측정날짜,SO2(ppm),NO2(ppm),CO(ppm),O3(ppm),PM10(㎍/㎥),PM25(㎍/㎥)
정자동,20211213,0.002,0.025,0.5,0.016,22,10
단대동,20211212,0.002,0.015,0.4,0.024,43,30
복정동,20211212,0.001,0.019,0.5,0.023,43,26
상대원동,20211212,0.003,0.018,0.5,0.021,43,26
성남대로,20211212,0.002,0.022,0.6,0.015,45,26
수내동,20211212,0.003,0.018,0.6,0.023,38,29
운중동,20211212,0.002,0.011,0.5,0.025,39,28
정자동,20211212,0.002,0.015,0.6,0.025,43,26
단대동,20211211,0.002,0.037,0.7,0.007,67,45
복정동,20211211,0.003,0.045,0.8,0.006,65,47
상대원동,20211211,0.003,0.039,0.8,0.006,65,45
성남대로,20211211,0.003,0.038,1,0.005,73,49
수내동,20211211,0.004,0.039,0.8,0.006,63,44
운중동,20211211,0.002,0.031,0.7,0.007,73,50
정자동,20211211,0.002,0.035,0.9,0.008,74,48
단대동,20211210,0.002,0.037,0.6,0.002,33,19
복정동,20211210,0.001,0.052,0.7,0.002,37,21
상대원동,20211210,0.003,0.034,0.6,0.003,32,19
성남대로,20211210,0.003,0.037,0.9,0.003,39,21
수내동,20211210,0.003,0.036,0.8,0.001,30,23
운중동,20211210,0.002,0.03,0.6,0.001,33,24
정자동,20211210,0.002,0.035,0.8,0.001,36,21
단대동,20211209,0.002,0.038,0.6,0.006,33,20
복정동,20211209,0.004,0.058,0.7,0.005,39,22
상대원동,20211209,0.003,0.031,0.4,0.006,28,15
성남대로,20211209,0.004,0.043,0.9,0.004,48,24
수내동,20211209,0.003,0.036,0.7,0.003,33,19
운중동,20211209,0.003,0.033,0.6,0.003,36,23
정자동,20211209,0.002,0.036,0.7,0.002,36,21
단대동,20211208,0.002,0.046,0.7,0.004,30,15
복정동,20211208,0.003,0.065,0.7,0.005,37,17
상대원동,20211208,0.003,0.037,0.7,0.007,28,13
성남대로,20211208,0.004,0.051,1,0.004,51,20
수내동,20211208,0.004,0.04,0.7,0.005,29,15
운중동,20211208,0.003,0.034,0.7,0.004,30,18
정자동,20211208,0.002,0.038,0.7,0.006,29,15
단대동,20211207,0.002,0.042,0.6,0.011,40,27
복정동,20211207,,0.056,0.7,0.01,43,28
상대원동,20211207,0.003,0.044,1,0.009,46,27
성남대로,20211207,0.005,0.05,1.1,0.005,59,31
수내동,20211207,0.004,0.047,0.9,0.007,42,31
운중동,20211207,0.003,0.039,0.8,0.007,41,27
정자동,20211207,0.002,0.043,0.7,0.009,48,28
단대동,20211206,0.003,0.055,0.8,0.006,43,31
복정동,20211206,0.003,0.071,0.8,0.005,47,33
상대원동,20211206,0.003,0.045,0.9,0.007,46,27
성남대로,20211206,0.005,0.054,1.1,0.004,64,36
수내동,20211206,0.003,0.044,0.8,0.007,38,28
운중동,20211206,0.003,0.038,0.7,0.006,40,27
정자동,20211206,0.002,0.043,0.7,0.007,44,28
단대동,20211205,0.003,0.036,0.6,0.01,31,23
복정동,20211205,0.004,0.046,0.7,0.008,37,25
상대원동,20211205,0.003,0.026,0.7,0.013,30,21
성남대로,20211205,0.005,0.04,0.9,0.005,43,26
수내동,20211205,0.003,0.034,0.7,0.008,31,23
운중동,20211205,0.003,0.027,0.7,0.008,35,28
정자동,20211205,0.002,0.031,0.6,0.01,34,24
단대동,20211204,0.002,0.027,0.4,0.015,19,10
복정동,20211204,0.004,0.036,0.5,0.014,26,10
상대원동,20211204,0.003,0.026,0.6,0.013,21,9
성남대로,20211204,0.004,0.035,0.6,0.007,28,10
수내동,20211204,0.003,0.029,0.6,0.012,21,11
운중동,20211204,0.003,0.022,0.4,0.013,21,12
정자동,20211204,0.002,0.026,0.4,0.014,21,10
단대동,20211203,0.002,0.021,0.3,0.017,19,9
복정동,20211203,0.002,0.025,0.4,0.017,23,9
상대원동,20211203,0.003,0.023,0.6,0.014,21,9
성남대로,20211203,0.003,0.028,0.5,0.009,26,8
수내동,20211203,0.002,0.024,0.5,0.014,18,9
운중동,20211203,0.002,0.015,0.4,0.017,19,11
정자동,20211203,0.002,0.019,0.3,0.019,21,8
단대동,20211202,0.002,0.025,0.4,0.013,21,12
복정동,20211202,0.002,0.032,0.4,0.012,27,12
상대원동,20211202,0.003,0.026,0.6,0.011,22,11
성남대로,20211202,0.003,0.033,0.6,0.006,28,13
수내동,20211202,0.002,0.027,0.6,0.011,22,12
운중동,20211202,0.003,0.019,0.6,0.012,20,12
정자동,20211202,0.002,0.023,0.4,0.014,22,12
단대동,20211201,0.002,0.011,0.3,0.025,17,9
복정동,20211201,0.002,0.014,0.4,0.024,19,8
상대원동,20211201,0.002,0.015,0.5,0.02,16,7
성남대로,20211201,0.003,0.02,0.4,0.014,20,7
수내동,20211201,0.002,0.013,0.4,0.023,16,9
운중동,20211201,0.002,0.008,0.6,0.024,15,10
정자동,20211201,0.002,0.011,0.2,0.025,14,6
단대동,20211130,0.002,0.023,0.4,0.021,19,16
복정동,20211130,0.002,0.031,0.5,0.018,21,15
상대원동,20211130,0.002,0.025,0.6,0.017,20,15
성남대로,20211130,0.002,0.031,0.6,0.01,25,16
수내동,20211130,0.002,0.029,0.6,0.016,20,17
운중동,20211130,0.002,0.024,0.7,0.014,20,16
정자동,20211130,0.002,0.029,0.4,0.014,23,15
단대동,20211129,0.003,0.052,0.7,0.008,43,34
복정동,20211129,0.002,0.07,0.8,0.006,51,37
상대원동,20211129,0.003,0.043,0.7,0.008,50,33
성남대로,20211129,0.004,0.051,1,0.004,57,38
수내동,20211129,0.003,0.045,0.8,0.006,43,33
운중동,20211129,0.003,0.038,0.8,0.007,47,33
정자동,20211129,0.002,0.041,0.6,0.007,50,35
단대동,20211128,0.003,0.046,0.7,0.01,34,25
복정동,20211128,0.005,0.057,0.8,0.009,42,29
상대원동,20211128,0.003,0.032,0.6,0.011,31,21
성남대로,20211128,0.004,0.046,1,0.006,46,31
수내동,20211128,0.002,0.039,0.7,0.009,35,24
운중동,20211128,0.003,0.033,0.8,0.009,39,30
정자동,20211128,0.002,0.037,0.6,0.009,40,27
단대동,20211127,0.002,0.035,0.5,0.013,31,17
복정동,20211127,0.001,0.045,0.6,0.012,38,20
상대원동,20211127,0.003,0.034,0.6,0.01,33,17
성남대로,20211127,0.004,0.044,0.8,0.006,44,22
수내동,20211127,0.002,0.037,0.7,0.009,32,17
운중동,20211127,0.003,0.032,0.8,0.008,35,22
정자동,20211127,0.002,0.034,0.5,0.01,34,19
단대동,20211126,0.002,0.03,0.4,0.018,23,12
복정동,20211126,0.001,0.039,0.5,0.016,31,13
상대원동,20211126,0.003,0.033,0.5,0.014,27,12
성남대로,20211126,0.004,0.04,0.6,0.008,35,13
수내동,20211126,0.002,0.033,0.6,0.014,28,13
운중동,20211126,0.003,0.026,0.6,0.015,26,14
정자동,20211126,0.002,0.029,0.4,0.015,28,12
단대동,20211125,0.002,0.035,0.5,0.015,46,17
복정동,20211125,0.003,0.044,0.6,0.014,52,19
상대원동,20211125,0.003,0.035,0.6,0.011,50,19
성남대로,20211125,0.004,0.04,0.8,0.008,53,20
수내동,20211125,0.003,0.035,0.7,0.01,46,20
운중동,20211125,0.003,0.029,0.6,0.013,47,19
정자동,20211125,0.002,0.034,0.5,0.012,52,20
단대동,20211124,0.002,0.034,0.5,0.011,25,13
복정동,20211124,0.001,0.04,0.5,0.012,30,12
상대원동,20211124,0.003,0.033,0.6,0.009,28,12
성남대로,20211124,0.003,0.036,0.7,0.007,30,14
수내동,20211124,0.003,0.035,0.6,0.009,26,13
운중동,20211124,0.003,0.027,0.6,0.013,24,11
정자동,20211124,0.003,0.034,0.5,0.011,31,16
단대동,20211123,0.002,0.018,0.3,0.022,27,10
복정동,20211123,0.001,0.021,0.4,0.022,31,9
상대원동,20211123,0.003,0.02,0.6,0.018,28,8
성남대로,20211123,0.002,0.025,0.5,0.013,30,8
수내동,20211123,0.002,0.019,0.4,0.021,28,9
운중동,20211123,0.002,0.017,0.4,0.021,26,11
정자동,20211123,0.002,0.016,0.3,0.022,28,8
단대동,20211122,0.002,0.018,0.3,0.027,42,15
복정동,20211122,0.001,0.02,0.4,0.026,46,13
상대원동,20211122,0.002,0.019,0.6,0.022,41,14
성남대로,20211122,0.003,0.022,0.4,0.016,48,14
수내동,20211122,0.002,0.019,0.4,0.025,42,14
운중동,20211122,0.002,0.015,0.4,0.026,38,16
정자동,20211122,0.002,0.013,0.3,0.028,43,15
단대동,20211121,0.002,0.048,0.8,0.021,105,93
복정동,20211121,0.002,0.055,0.8,0.015,112,95
상대원동,20211121,0.003,0.033,1,0.021,121,93
성남대로,20211121,0.003,0.045,1,0.009,120,99
수내동,20211121,0.003,0.048,0.9,0.016,110,91
운중동,20211121,0.002,0.034,0.8,0.017,117,92
정자동,20211121,0.003,0.05,0.8,0.021,129,96
단대동,20211120,0.002,0.047,0.8,0.026,122,98
복정동,20211120,0.002,0.051,0.9,0.021,130,91
상대원동,20211120,0.003,0.038,1.1,0.021,134,88
성남대로,20211120,0.004,0.047,1.1,0.011,136,106
수내동,20211120,0.003,0.047,1,0.021,121,79
운중동,20211120,0.002,0.037,0.9,0.017,133,75
정자동,20211120,0.002,0.049,0.9,0.026,145,97
단대동,20211119,0.002,0.034,0.7,0.039,89,52
복정동,20211119,0.001,0.035,0.7,0.037,99,55
상대원동,20211119,0.002,0.039,1,0.023,95,54
성남대로,20211119,0.003,0.049,0.9,0.013,103,66
수내동,20211119,0.003,0.04,0.8,0.029,92,43
운중동,20211119,0.002,0.023,0.7,0.038,107,62
정자동,20211119,0.002,0.039,0.6,0.036,92,60
단대동,20211118,0.002,0.03,0.5,0.035,54,28
복정동,20211118,0.002,0.038,0.5,0.029,56,29
상대원동,20211118,0.003,0.035,0.7,0.022,59,30
성남대로,20211118,0.003,0.043,0.6,0.013,60,32
수내동,20211118,0.002,0.035,0.6,0.027,56,29
운중동,20211118,0.002,0.022,0.6,0.034,58,
정자동,20211118,0.002,0.035,0.5,0.03,58,30
단대동,20211117,0.002,0.043,,0.01,33,17
복정동,20211117,0.003,0.058,0.6,0.006,,19
상대원동,20211117,0.003,0.038,0.6,0.01,35,17
성남대로,20211117,0.004,0.05,0.7,0.005,44,22
수내동,20211117,0.003,0.042,0.6,0.007,33,17
운중동,20211117,0.002,0.034,0.6,0.008,29,
정자동,20211117,0.002,0.04,0.5,0.01,32,16
단대동,20211116,0.002,0.04,0.7,0.014,49,21
복정동,20211116,,0.053,0.7,0.01,69,24
상대원동,20211116,0.003,0.039,0.8,0.011,53,21
성남대로,20211116,0.003,0.047,0.9,0.006,61,25
수내동,20211116,0.003,0.04,0.7,0.01,49,20
운중동,20211116,0.002,0.032,0.6,0.011,48,
정자동,20211116,0.002,0.037,0.5,0.014,55,22
단대동,20211115,0.002,0.043,0.7,0.013,52,26
복정동,20211115,0.001,0.056,0.7,0.01,74,26
상대원동,20211115,0.003,0.043,0.8,0.009,63,23
성남대로,20211115,0.004,0.047,0.9,0.005,68,36
수내동,20211115,0.003,0.041,0.7,0.008,49,25
운중동,20211115,0.002,0.034,0.6,0.009,54,
정자동,20211115,0.002,0.038,0.6,0.012,61,25
단대동,20211114,0.002,0.03,0.6,0.032,44,26
복정동,20211114,0.001,0.024,0.5,0.038,63,27
상대원동,20211114,0.003,0.024,0.6,0.027,47,22
성남대로,20211114,0.003,0.038,0.7,0.014,53,31
수내동,20211114,0.003,0.034,0.6,0.021,47,25
운중동,20211114,0.003,0.023,0.5,0.028,50,
정자동,20211114,0.003,0.028,0.5,0.03,56,26
단대동,20211113,0.002,0.035,0.5,0.012,23,11
복정동,20211113,,0.041,0.6,0.015,35,12
상대원동,20211113,0.003,0.028,0.5,0.011,22,8
성남대로,20211113,0.003,0.04,0.8,0.006,33,14
수내동,20211113,0.003,0.031,0.6,0.01,25,11
운중동,20211113,0.002,0.027,0.4,0.011,22,
정자동,20211113,0.002,0.03,0.5,0.014,23,10
단대동,20211112,0.002,0.02,0.4,0.019,20,8
복정동,20211112,,0.022,0.4,0.02,29,8
상대원동,20211112,0.002,0.023,0.5,0.014,20,6
성남대로,20211112,0.003,0.028,0.5,0.01,24,7
수내동,20211112,0.002,0.024,0.4,0.015,19,8
운중동,20211112,0.002,0.016,0.3,0.016,17,
정자동,20211112,0.002,0.02,0.3,0.018,19,7
단대동,20211111,0.002,0.019,0.4,0.022,18,8
복정동,20211111,,0.022,0.4,0.022,26,6
상대원동,20211111,0.002,0.023,0.4,0.016,18,6
성남대로,20211111,0.003,0.027,0.4,0.012,22,6
수내동,20211111,0.002,0.021,0.4,0.019,18,6
운중동,20211111,0.002,0.015,0.2,0.021,16,
정자동,20211111,0.002,0.017,0.3,0.023,17,5
단대동,20211110,0.002,0.018,0.4,0.02,14,7
복정동,20211110,0.001,0.02,0.4,0.022,22,6
상대원동,20211110,0.002,0.02,0.4,0.016,14,6
성남대로,20211110,0.002,0.026,0.4,0.011,19,6
수내동,20211110,0.002,0.021,0.4,0.016,14,8
운중동,20211110,0.002,0.015,0.3,0.018,13,
정자동,20211110,0.002,0.017,0.3,0.02,13,6
단대동,20211109,0.001,0.018,0.4,0.021,8,5
복정동,20211109,0.002,0.02,0.4,0.022,14,4
상대원동,20211109,0.002,0.023,0.5,0.014,8,3
성남대로,20211109,0.002,0.03,0.4,0.009,11,3
수내동,20211109,0.002,0.022,0.4,0.015,8,3
운중동,20211109,0.002,0.015,0.3,0.018,7,
정자동,20211109,0.002,0.019,0.3,0.019,6,3
단대동,20211108,0.001,0.012,0.4,0.03,10,5
복정동,20211108,0.001,0.014,0.3,0.03,15,4
상대원동,20211108,0.002,0.017,0.5,0.022,8,2
성남대로,20211108,0.003,0.024,0.4,0.013,11,3
수내동,20211108,0.002,0.016,0.4,0.024,9,2
운중동,20211108,0.002,0.009,0.5,0.026,8,
정자동,20211108,0.002,0.012,0.3,0.029,,3
단대동,20211107,0.002,0.025,0.5,0.028,30,18
복정동,20211107,0.001,0.029,0.5,0.027,43,16
상대원동,20211107,0.002,0.018,0.6,0.027,25,13
성남대로,20211107,0.003,0.028,0.6,0.014,34,18
수내동,20211107,0.002,0.024,0.5,0.023,31,17
운중동,20211107,0.002,0.02,0.6,0.023,25,
정자동,20211107,0.002,0.017,0.4,0.03,,15
단대동,20211106,0.002,0.047,0.8,0.018,48,28
복정동,20211106,0.001,0.059,0.7,0.016,70,26
상대원동,20211106,0.002,0.035,0.7,0.018,43,21
성남대로,20211106,0.002,0.051,0.9,0.006,57,35
수내동,20211106,0.002,0.041,0.7,0.013,46,25
운중동,20211106,0.002,0.036,0.6,0.015,43,
정자동,20211106,0.002,0.033,0.5,0.018,49,25
단대동,20211105,0.002,0.046,0.8,0.015,45,35
복정동,20211105,,0.061,0.8,0.01,78,32
상대원동,20211105,0.002,0.038,0.7,0.013,55,30
성남대로,20211105,0.003,0.046,0.9,0.006,62,45
수내동,20211105,0.003,0.041,0.7,0.011,46,28
운중동,20211105,0.002,0.036,0.7,0.012,50,
정자동,20211105,0.002,0.035,0.6,0.01,57,30
단대동,20211104,0.002,0.043,0.7,0.017,44,35
복정동,20211104,0.003,0.049,0.6,0.015,58,32
상대원동,20211104,0.002,0.04,0.6,0.011,56,37
성남대로,20211104,0.003,0.045,0.7,0.006,52,45
수내동,20211104,0.003,0.041,0.7,0.01,42,30
운중동,20211104,0.002,0.034,0.6,0.01,41,
정자동,20211104,0.002,0.032,0.6,0.015,,29
단대동,20211103,0.002,0.043,0.8,0.012,40,29
복정동,20211103,0.002,0.046,0.7,0.016,56,26
상대원동,20211103,0.002,0.041,0.7,0.01,43,27
성남대로,20211103,0.003,0.042,0.8,0.006,49,32
수내동,20211103,0.002,0.035,0.6,0.013,39,27
운중동,20211103,0.002,0.029,0.6,0.015,37,
정자동,20211103,0.002,0.032,0.6,0.015,40,28
단대동,20211102,0.002,0.036,0.7,0.017,37,24
복정동,20211102,0.001,0.038,0.6,0.017,49,21
상대원동,20211102,0.002,0.038,0.7,0.011,40,23
성남대로,20211102,0.003,0.039,0.8,0.007,41,28
수내동,20211102,0.002,0.038,0.7,0.007,37,25
운중동,20211102,0.002,0.029,0.7,0.011,42,
정자동,20211102,0.002,0.031,0.7,0.013,,25
단대동,20211101,0.002,0.03,0.6,0.026,33,21
복정동,20211101,,,,,,
상대원동,20211101,0.002,0.034,0.6,0.016,35,17
성남대로,20211101,0.002,0.039,0.6,0.008,38,26
수내동,20211101,0.002,0.03,0.6,0.014,30,17
운중동,20211101,0.002,0.026,0.7,0.018,28,
정자동,20211101,0.002,0.026,0.6,0.019,34,16
단대동,20211031,0.002,0.027,0.6,0.025,29,18
복정동,20211031,,,,,,
상대원동,20211031,0.002,0.019,0.4,0.025,28,17
성남대로,20211031,0.003,0.033,0.7,0.01,34,23
수내동,20211031,0.002,0.025,0.6,0.018,31,19
운중동,20211031,,,,,,
정자동,20211031,0.002,0.021,0.6,0.023,27,18
단대동,20211030,0.002,0.023,0.4,0.021,23,11
복정동,20211030,,,,,,
상대원동,20211030,0.002,0.018,0.3,0.019,19,9
성남대로,20211030,0.003,0.033,0.5,0.006,27,12
수내동,20211030,0.003,0.031,0.6,0.009,24,11
운중동,20211030,,,,,,
정자동,20211030,0.002,0.025,0.5,0.014,25,11
단대동,20211029,0.001,0.031,0.4,0.017,24,11
복정동,20211029,0.001,0.043,,0.013,34,10
상대원동,20211029,0.002,0.027,0.4,0.016,21,7
성남대로,20211029,0.002,0.038,0.6,0.007,28,10
수내동,20211029,0.002,0.033,0.5,0.011,24,11
운중동,20211029,,,,,,
정자동,20211029,0.002,0.026,0.5,0.017,,10
단대동,20211028,0.002,0.033,0.5,0.016,27,11
복정동,20211028,0.001,0.043,0.5,0.014,40,11
상대원동,20211028,0.002,0.029,0.6,0.014,25,10
성남대로,20211028,0.003,0.041,0.7,0.006,33,11
수내동,20211028,0.003,0.033,0.6,0.01,27,11
운중동,20211028,,,,,,
정자동,20211028,0.002,0.032,0.5,0.013,27,10
단대동,20211027,0.002,0.035,0.5,0.024,44,29
복정동,20211027,0.001,0.037,0.5,0.026,66,27
상대원동,20211027,0.002,0.033,0.6,0.019,47,29
성남대로,20211027,0.003,0.04,0.7,0.01,54,
수내동,20211027,0.002,0.036,0.6,0.016,43,21
운중동,20211027,,,,,,
정자동,20211027,0.002,0.034,0.6,0.02,44,27
단대동,20211026,0.002,0.041,0.5,0.024,38,27
복정동,20211026,0.001,0.055,0.6,0.022,57,28
상대원동,20211026,0.002,0.039,0.6,0.016,42,26
성남대로,20211026,0.003,0.048,0.8,0.008,48,34
수내동,20211026,0.003,0.04,0.6,0.014,37,23
운중동,20211026,,,,,,
정자동,20211026,0.002,0.036,0.6,0.018,41,27
단대동,20211025,0.002,0.037,0.5,0.02,28,15
복정동,20211025,0.001,0.053,0.6,0.017,43,15
상대원동,20211025,0.002,0.034,0.6,0.016,28,14
성남대로,20211025,0.003,0.045,0.7,0.007,35,18
수내동,20211025,0.002,0.032,0.5,0.015,26,13
운중동,20211025,,,,,,
정자동,20211025,0.002,0.029,0.5,0.019,27,14
단대동,20211024,0.002,0.031,,0.025,28,19
복정동,20211024,0.001,0.039,0.6,0.024,41,18
상대원동,20211024,0.002,0.023,0.5,0.024,27,17
성남대로,20211024,0.003,0.037,0.7,0.011,34,21
수내동,20211024,0.002,0.028,0.6,0.018,30,18
운중동,20211024,,,,,,
정자동,20211024,0.002,0.023,0.5,0.025,30,18
단대동,20211023,0.002,0.031,0.5,0.021,35,19
복정동,20211023,0.001,0.047,0.6,0.016,52,20
상대원동,20211023,0.002,0.024,0.5,0.019,30,15
성남대로,20211023,0.003,0.042,0.7,0.007,39,21
수내동,20211023,0.003,0.031,0.6,0.014,33,18
운중동,20211023,,,,,,
정자동,20211023,0.003,0.03,0.6,0.018,35,19
단대동,20211022,0.002,0.033,0.5,0.017,30,18
복정동,20211022,0.001,0.042,0.5,0.016,48,17
상대원동,20211022,0.002,0.033,0.5,0.012,33,17
성남대로,20211022,0.003,0.041,0.7,0.006,41,22
수내동,20211022,0.003,0.035,0.6,0.011,32,17
운중동,20211022,,,,,,
정자동,20211022,0.002,0.034,0.6,0.014,35,18
단대동,20211021,0.002,0.034,0.5,0.018,30,19
복정동,20211021,0.001,0.051,0.6,0.012,48,21
상대원동,20211021,0.002,0.033,0.4,0.012,32,19
성남대로,20211021,0.003,0.039,0.7,0.007,34,24
수내동,20211021,0.003,0.033,0.6,0.011,30,18
운중동,20211021,,,,,,
정자동,20211021,0.002,0.031,0.5,0.014,34,21
단대동,20211020,0.002,0.028,0.4,0.016,26,16
복정동,20211020,0.002,0.038,0.5,0.014,40,15
상대원동,20211020,0.002,0.028,0.4,0.01,26,13
성남대로,20211020,0.003,0.035,0.7,0.006,32,16
수내동,20211020,0.002,0.028,0.5,0.012,28,15
운중동,20211020,,,,,,
정자동,20211020,0.002,0.027,0.5,0.014,27,15
단대동,20211019,0.002,0.024,0.4,0.022,27,16
복정동,20211019,0.001,0.024,0.5,0.024,36,14
상대원동,20211019,0.002,0.025,0.4,0.017,25,15
성남대로,20211019,0.002,0.028,0.6,0.011,30,18
수내동,20211019,0.002,0.025,0.5,0.018,25,14
운중동,20211019,,,,,,
정자동,20211019,0.002,0.024,0.5,0.021,26,14
단대동,20211018,0.002,0.025,0.4,0.017,23,10
복정동,20211018,0.002,0.033,0.5,0.015,36,9
상대원동,20211018,0.002,0.022,0.4,0.015,23,9
성남대로,20211018,0.003,0.033,0.6,0.006,28,11
수내동,20211018,0.002,0.027,0.5,0.013,24,9
운중동,20211018,,,,,,
정자동,20211018,0.002,0.025,0.5,0.016,24,10
단대동,20211017,0.002,0.01,0.3,0.029,22,7
복정동,20211017,0.002,0.011,0.4,0.031,31,5
상대원동,20211017,0.002,0.012,0.3,0.024,19,5
성남대로,20211017,0.002,0.02,0.4,0.015,22,4
수내동,20211017,0.002,0.016,0.4,0.022,21,6
운중동,20211017,,,,,,
정자동,20211017,0.002,0.011,0.3,0.026,19,5
단대동,20211016,0.002,0.011,0.3,0.029,32,9
복정동,20211016,0.001,0.012,0.4,0.031,44,6
상대원동,20211016,0.002,0.012,0.4,0.026,29,5
성남대로,20211016,0.002,0.018,0.4,0.018,29,6
수내동,20211016,0.002,,0.3,0.025,,
운중동,20211016,,,,,,
정자동,20211016,0.002,0.01,0.3,0.031,30,5
단대동,20211015,0.002,0.016,0.4,0.025,20,11
복정동,20211015,0.001,0.021,0.5,0.023,31,9
상대원동,20211015,0.002,0.018,0.4,0.02,18,9
성남대로,20211015,0.002,0.027,0.5,0.011,25,10
수내동,20211015,0.002,0.024,0.4,0.016,23,10
운중동,20211015,,,,,,
정자동,20211015,0.002,0.018,0.4,0.022,19,9
단대동,20211014,0.002,0.019,0.3,0.03,22,9
복정동,20211014,0.001,0.022,0.4,0.03,30,7
상대원동,20211014,0.002,0.021,0.4,0.023,18,7
성남대로,20211014,0.003,0.031,0.5,0.012,23,9
수내동,20211014,0.002,0.022,0.4,0.021,21,9
운중동,20211014,,,,,,
정자동,20211014,0.002,0.018,0.4,0.025,17,7
단대동,20211013,0.001,0.01,0.3,0.035,12,4
복정동,20211013,0.002,0.016,0.4,0.029,21,4
상대원동,20211013,0.002,0.02,0.4,0.02,13,5
성남대로,20211013,0.002,0.028,0.5,0.01,18,5
수내동,20211013,0.002,0.022,0.4,0.014,14,4
운중동,20211013,,,,,,
정자동,20211013,0.002,0.01,0.4,0.025,10,4
단대동,20211012,0.001,0.007,0.2,0.032,10,3
복정동,20211012,0.001,0.006,0.3,0.032,17,3
상대원동,20211012,0.002,0.013,0.3,0.022,11,2
성남대로,20211012,0.003,0.021,0.4,0.013,15,3
수내동,20211012,,,,,,
운중동,20211012,,,,,,
정자동,20211012,0.002,0.007,0.4,0.027,11,3
단대동,20211011,0.002,0.01,0.3,0.026,25,8
복정동,20211011,0.001,0.013,0.4,0.024,36,7
상대원동,20211011,0.002,0.012,0.4,0.022,24,6
성남대로,20211011,0.002,0.018,0.5,0.014,26,7
수내동,20211011,,,,,,
운중동,20211011,,,,,,
정자동,20211011,0.002,0.009,0.5,0.025,27,7
단대동,20211010,0.001,0.012,0.4,0.029,21,11
복정동,20211010,0.001,0.013,0.5,0.028,31,8
상대원동,20211010,0.001,0.011,0.4,0.025,17,8
성남대로,20211010,0.002,0.018,0.6,0.014,24,10
수내동,20211010,,,,,,
운중동,20211010,,,,,,
정자동,20211010,0.002,0.01,0.5,0.025,21,10
단대동,20211009,0.001,0.019,0.4,0.013,16,6
복정동,20211009,0.001,0.022,0.5,0.011,25,5
상대원동,20211009,0.002,0.012,0.4,0.017,12,3
성남대로,20211009,0.002,0.02,0.6,0.007,20,6
수내동,20211009,0.002,0.014,0.4,0.014,15,5
운중동,20211009,,,,,,
정자동,20211009,0.002,0.008,0.4,0.018,11,4
단대동,20211008,0.002,0.022,0.5,0.014,22,13
복정동,20211008,0.001,0.032,0.6,0.006,35,10
상대원동,20211008,0.002,0.019,0.4,0.012,20,11
성남대로,20211008,0.002,0.027,0.7,0.004,28,12
수내동,20211008,0.002,0.022,0.6,0.008,22,10
운중동,20211008,,,,,,
정자동,20211008,0.002,0.015,0.6,0.013,18,12
단대동,20211007,0.002,0.019,0.4,0.02,16,7
복정동,20211007,0.002,0.019,0.4,0.022,23,5
상대원동,20211007,0.002,0.022,0.4,,15,5
성남대로,20211007,0.002,0.026,0.6,0.008,18,6
수내동,20211007,0.002,0.022,0.5,0.014,16,6
운중동,20211007,,,,,,
정자동,20211007,0.002,0.016,0.5,0.016,14,6
단대동,20211006,0.001,0.011,0.3,0.022,10,4
복정동,20211006,0.001,0.02,0.4,0.012,19,4
상대원동,20211006,0.001,0.013,0.3,0.015,12,3
성남대로,20211006,0.002,0.018,0.5,0.01,12,3
수내동,20211006,0.002,0.013,0.4,0.017,11,4
운중동,20211006,,,,,,
정자동,20211006,0.002,0.01,0.4,0.017,16,4
단대동,20211005,0.002,0.013,,0.041,41,14
복정동,20211005,,0.011,0.4,0.04,49,12
상대원동,20211005,0.002,0.017,0.4,0.032,37,12
성남대로,20211005,0.002,,0.5,0.019,43,13
수내동,20211005,0.003,0.013,0.4,0.036,42,13
운중동,20211005,,,,,,
정자동,20211005,0.002,0.011,0.4,0.037,40,11
단대동,20211004,0.002,0.017,0.4,0.031,39,17
복정동,20211004,0.004,0.023,0.5,0.026,43,15
상대원동,20211004,0.002,0.018,0.5,0.026,35,16
성남대로,20211004,0.003,,0.6,0.011,42,16
수내동,20211004,0.002,0.019,0.5,0.019,39,16
운중동,20211004,,,,,,
정자동,20211004,0.002,0.015,0.5,0.023,32,15
단대동,20211003,0.002,0.016,0.5,0.043,39,19
복정동,20211003,0.003,0.025,0.6,0.036,40,17
상대원동,20211003,0.002,0.014,0.6,0.038,30,18
성남대로,20211003,0.003,,0.7,0.017,42,21
수내동,20211003,0.002,0.02,0.6,0.027,35,18
운중동,20211003,,,,,,
정자동,20211003,0.002,0.013,0.7,0.03,31,17
단대동,20211002,0.002,0.015,0.4,0.054,26,12
복정동,20211002,0.003,0.019,0.5,0.05,29,11
상대원동,20211002,0.002,0.017,0.5,0.042,21,10
성남대로,20211002,0.002,,0.6,0.022,28,12
수내동,20211002,0.002,0.02,0.5,0.037,25,12
운중동,20211002,,,,,,
정자동,20211002,0.002,0.014,0.5,0.044,22,11
단대동,20211001,0.002,0.022,0.5,0.036,36,17
복정동,20211001,0.003,0.029,0.6,0.035,41,14
상대원동,20211001,0.002,0.025,0.6,0.027,32,16
성남대로,20211001,0.002,,0.7,0.016,40,20
수내동,20211001,0.002,0.023,0.6,0.03,37,17
운중동,20211001,,,,,,
정자동,20211001,0.002,0.02,0.6,0.032,32,17
단대동,20210930,0.001,0.018,0.4,0.023,20,8
복정동,20210930,0.003,0.028,0.5,0.018,24,7
