측정소명,측정날짜,SO2(ppm),NO2(ppm),CO(ppm),O3(ppm),PM10(㎍/㎥),PM25(㎍/㎥)
운중동,20230831,0.0019,0.0141,0.53,0.0326,22,10
수내동,20230831,0.0015,0.0194,0.56,0.0305,27,12
정자동,20230831,0.0019,0.0105,0.48,0.0366,22,12
단대동,20230830,0.0012,0.0157,0.51,0.0271,17,8
복정동,20230830,0.002,0.0125,0.54,0.0268,23,7
상대원동,20230830,0.0016,0.0221,0.59,0.016,18,6
성남대로,20230830,0.001,0.0273,0.55,0.0143,22,5
운중동,20230830,0.0015,0.0121,0.53,0.0229,16,6
수내동,20230830,0.0013,0.0182,0.59,0.0194,18,8
정자동,20230830,0.0015,0.0123,0.52,0.0239,15,7
단대동,20230829,0.0014,0.0116,0.4,0.0194,14,7
복정동,20230829,0.0025,0.0086,0.47,0.0208,18,7
상대원동,20230829,0.0017,0.0147,0.46,0.0137,14,5
성남대로,20230829,0.002,0.0199,0.47,0.0116,17,5
운중동,20230829,0.0015,0.0073,0.39,0.0205,12,5
수내동,20230829,0.0016,0.0118,0.48,0.0175,14,7
정자동,20230829,0.0014,0.0067,0.39,0.0206,11,7
단대동,20230828,0.0012,0.0085,0.38,0.0278,12,7
복정동,20230828,0.0028,0.0108,0.43,0.022,21,6
상대원동,20230828,0.0015,0.0145,0.44,0.021,13,5
성남대로,20230828,0.0011,0.0234,0.48,0.0133,20,5
운중동,20230828,0.0013,0.0125,0.43,0.0204,15,7
수내동,20230828,0.0011,0.0132,0.49,0.0217,16,8
정자동,20230828,0.0014,0.0066,0.41,0.027,12,6
단대동,20230827,0.0013,0.01,0.55,0.034,30,14
복정동,20230827,0.0019,0.0107,0.61,0.0298,34,16
상대원동,20230827,0.0016,0.0104,0.56,0.03,27,14
성남대로,20230827,0.0015,0.0209,0.58,0.0224,32,14
운중동,20230827,0.0012,0.0115,0.56,0.0309,24,16
수내동,20230827,0.0015,0.0122,0.61,0.0286,30,17
정자동,20230827,0.0015,0.005,0.54,0.0364,25,17
단대동,20230826,0.0015,0.0106,0.62,0.0663,39,22
복정동,20230826,0.0023,0.0115,0.64,0.0603,41,20
상대원동,20230826,0.0018,0.0154,0.64,0.0522,32,19
성남대로,20230826,0.002,0.0308,0.67,0.0408,41,19
운중동,20230826,0.0013,0.0099,0.58,0.0589,33,19
수내동,20230826,0.0012,0.0159,0.71,0.0542,38,22
정자동,20230826,0.0018,0.0075,0.64,0.0614,35,22
단대동,20230825,0.0015,0.0125,0.47,0.0379,22,8
복정동,20230825,0.0036,0.0106,0.52,0.0384,24,8
상대원동,20230825,0.0017,0.019,0.49,0.0284,18,8
성남대로,20230825,0.002,0.027,0.54,0.0246,22,7
운중동,20230825,0.0011,0.0081,0.48,0.0406,19,8
수내동,20230825,0.001,0.0113,0.54,0.0415,20,10
정자동,20230825,0.0017,0.0067,0.45,0.0455,18,9
단대동,20230824,0.0009,0.0072,0.39,0.0328,8,2
복정동,20230824,0.0031,0.0087,0.45,0.0289,15,4
상대원동,20230824,0.0015,0.0121,0.4,0.024,8,3
성남대로,20230824,0.002,0.019,0.46,0.0218,11,1
운중동,20230824,0.0011,0.0098,0.43,0.03,8,2
수내동,20230824,0.001,0.0102,0.48,0.0306,7,4
정자동,20230824,0.0015,0.005,0.42,0.0331,8,3
단대동,20230823,0.0013,0.0104,0.41,0.0266,14,8
복정동,20230823,0.0019,0.0098,0.5,0.0262,18,8
상대원동,20230823,0.0015,0.0129,0.4,0.02,11,7
성남대로,20230823,0.0012,0.0203,0.48,0.0183,16,7
운중동,20230823,0.0011,0.0092,0.44,0.0277,10,4
수내동,20230823,0.0009,0.0115,0.49,0.0259,13,8
정자동,20230823,0.0015,0.0061,0.4,0.0289,10,6
단대동,20230822,0.0017,0.0101,0.38,0.024,20,12
복정동,20230822,0.0019,0.0078,0.44,0.0251,23,10
상대원동,20230822,0.0019,0.0128,0.37,0.0191,17,11
성남대로,20230822,0.0014,0.0167,0.4,0.0176,21,10
운중동,20230822,0.0016,0.0079,0.31,0.0233,17,10
수내동,20230822,0.0016,0.01,0.45,0.024,20,13
정자동,20230822,0.0019,0.0046,0.36,0.0276,18,14
단대동,20230821,0.0015,0.0121,0.47,0.0338,26,12
복정동,20230821,0.0025,0.0124,0.55,0.0295,29,11
상대원동,20230821,0.0019,0.0183,0.47,0.0261,25,13
성남대로,20230821,0.0016,0.0235,0.49,0.022,27,11
운중동,20230821,0.0015,0.0102,0.41,0.0299,20,12
수내동,20230821,0.0017,0.0135,0.54,0.0287,25,14
정자동,20230821,0.0018,0.008,0.47,0.0317,18,14
단대동,20230820,0.0019,0.012,0.55,0.0447,29,15
복정동,20230820,0.0034,0.0123,0.59,0.0427,31,15
상대원동,20230820,0.002,0.0148,0.53,0.039,23,14
성남대로,20230820,0.0016,0.0265,0.57,0.0288,30,16
운중동,20230820,0.0014,0.0091,0.5,0.042,23,14
수내동,20230820,0.0011,0.0153,0.62,0.0395,28,18
정자동,20230820,0.0018,0.0081,0.55,0.0448,25,17
단대동,20230819,0.0019,0.0153,0.59,0.0503,32,19
복정동,20230819,0.003,0.0154,0.6,0.0498,32,16
상대원동,20230819,0.0021,0.0191,0.57,0.0436,26,17
성남대로,20230819,0.0017,0.0302,0.6,0.0343,30,15
운중동,20230819,0.0016,0.0122,0.48,0.0468,23,12
수내동,20230819,0.0016,0.0179,0.62,0.0466,27,17
정자동,20230819,0.0018,0.0106,0.55,0.0477,23,15
단대동,20230818,0.0019,0.0161,0.6,0.0542,37,20
복정동,20230818,0.0036,0.0181,0.65,0.0535,42,21
상대원동,20230818,0.0019,0.0222,0.55,0.0457,32,20
성남대로,20230818,0.0011,0.0345,0.62,0.0369,41,21
운중동,20230818,0.0015,0.0155,0.56,0.0515,30,19
수내동,20230818,0.0015,0.0183,0.67,0.0483,37,21
정자동,20230818,0.0019,0.0117,0.6,0.0529,32,22
단대동,20230817,0.0016,0.0144,0.62,0.0387,27,14
복정동,20230817,0.0033,0.0159,0.63,0.0435,32,14
상대원동,20230817,0.0018,0.0224,0.59,0.0301,23,14
성남대로,20230817,0.0011,0.0323,0.63,0.0277,30,12
운중동,20230817,0.0012,0.0136,0.54,0.0424,20,12
수내동,20230817,0.0013,0.0191,0.69,0.0321,26,15
정자동,20230817,0.0016,0.0083,0.61,0.0431,20,14
단대동,20230816,0.0015,0.0106,0.47,0.0356,18,10
복정동,20230816,0.0029,0.0115,0.45,0.028,20,7
상대원동,20230816,0.0017,0.0175,0.46,0.0281,22,9
성남대로,20230816,0.001,0.0256,0.48,0.0202,20,7
운중동,20230816,0.0012,0.0108,0.44,0.035,18,9
수내동,20230816,0.0016,0.0112,0.53,0.0284,16,9
정자동,20230816,0.0017,0.0074,0.45,0.0348,16,9
단대동,20230815,0.0012,0.009,0.5,0.0346,28,14
복정동,20230815,0.002,0.01,0.46,0.0321,32,13
상대원동,20230815,0.0016,0.0104,0.45,0.0311,23,13
성남대로,20230815,0.001,0.025,0.51,0.0223,31,12
운중동,20230815,0.001,0.0103,0.47,0.0349,23,14
수내동,20230815,0.0009,0.013,0.57,0.0337,30,15
정자동,20230815,0.0014,0.006,0.44,0.0406,25,16
단대동,20230814,0.0016,0.0127,0.61,0.0412,40,21
복정동,20230814,0.002,0.0153,0.58,0.0358,47,22
상대원동,20230814,0.0018,0.0217,0.61,0.0277,41,24
성남대로,20230814,0.0012,0.0278,0.58,0.0288,43,19
운중동,20230814,0.0012,0.0133,0.53,,35,21
수내동,20230814,0.0012,0.0154,0.68,0.0358,41,24
정자동,20230814,0.0016,0.0086,0.55,0.0409,34,24
단대동,20230813,0.0012,0.01,0.56,0.0361,32,15
복정동,20230813,0.002,0.0115,0.49,0.0319,38,17
상대원동,20230813,0.0015,0.0075,0.49,0.0337,25,15
성남대로,20230813,0.0014,0.0188,0.54,0.0257,33,16
운중동,20230813,0.001,0.0075,0.49,0.0326,26,15
수내동,20230813,0.0013,0.0094,0.62,0.0275,32,18
정자동,20230813,0.0018,0.0034,0.52,0.0314,26,18
단대동,20230812,0.0012,0.0078,0.41,0.036,18,10
복정동,20230812,0.002,0.008,0.37,0.033,23,8
상대원동,20230812,0.0015,0.011,0.4,0.0285,16,8
성남대로,20230812,0.001,0.0147,0.4,0.0259,21,7
운중동,20230812,0.001,0.0093,0.41,0.029,18,7
수내동,20230812,0.0009,0.008,0.49,0.0315,17,8
정자동,20230812,0.0014,0.0037,0.42,0.0334,14,8
단대동,20230811,0.0014,0.012,0.48,0.0344,19,9
복정동,20230811,0.002,0.0106,0.41,0.0349,23,10
상대원동,20230811,0.0015,0.0155,0.45,0.0271,17,9
성남대로,20230811,0.0018,0.0245,0.49,0.022,24,8
운중동,20230811,0.0011,0.0077,0.37,0.0357,16,10
수내동,20230811,0.0014,0.0126,0.55,0.03,20,11
정자동,20230811,0.0014,0.0075,0.45,0.035,18,10
